Gene	vsNaive	vsPrimed	AveExpr	P.Value
CSF3R	1.980053727	2.002702744	0.064441382	2.62E-35
HS3ST3B1	5.47969297	5.47558086	0.367440736	8.08E-35
CCR1	1.234779313	1.237979433	0.03033854	8.68E-35
IRX4	3.24257253	3.179241943	0.122825302	2.41E-34
SYNPO	2.548646542	2.521349467	0.088724617	9.13E-34
GATA3-AS1	0.786734599	0.786793301	0.017126954	2.04E-33
APOL6	3.063663381	3.013334522	0.103878812	4.26E-33
PRPS1	-4.901733719	-5.65574592	6.98549614	4.89E-33
WNT11	4.881653045	5.238518004	0.44221157	1.11E-32
GRAMD2A	5.513938523	5.307887471	0.299313472	1.54E-31
P2RY2	2.01651416	2.029811234	0.076827089	1.85E-31
ADAP2	3.374797004	3.519347222	0.241824402	2.69E-31
TP63	2.621589605	2.667117351	0.110743384	4.36E-31
POU5F1P3	-5.549728558	-4.305726572	5.702987309	1.77E-30
EGFR	4.492965852	4.392205139	0.222049218	3.93E-30
ACKR2	3.573582762	3.749021615	0.261162226	4.03E-29
RBBP8NL	1.135586688	1.147148666	0.035027135	9.15E-29
HSD3BP2	0.248146858	0.248137868	0.005390817	1.62E-28
AC103764.1	0.798188803	0.792229213	0.017280183	4.72E-28
IL1R1	3.182491083	3.320869231	0.217428017	2.13E-27
FAM89A	2.501804905	2.574486086	0.140898322	2.19E-27
WNT7B	1.038469646	1.048552722	0.031591483	2.89E-27
BCAR4	1.778037379	1.82411016	0.080525023	1.20E-26
GJA5	3.263017926	3.235125101	0.148115228	2.11E-26
POU5F1B	-5.129107853	-3.84110509	5.181340152	5.27E-26
IFITM1	-5.004587352	-3.293286685	9.163236984	1.60E-25
ATP1A4	1.978758004	1.954896898	0.052595271	3.48E-25
NUAK2	5.645255932	5.784914295	0.796359461	9.42E-25
CASP4	2.079737324	2.109555609	0.100215882	1.02E-24
RASGRF1	2.45606633	2.390863332	0.061252964	1.33E-24
ELF5	1.650938166	1.676600916	0.059028182	3.33E-24
CXCR6	1.531354417	1.523578859	0.038932931	5.44E-24
MSX2	6.261453118	7.2461881	1.11105014	7.99E-24
RNA5SP37	0.288614997	0.288636532	0.006283054	9.44E-24
SH3BP5	2.922902734	3.083183677	0.343431751	1.67E-23
AC022809.1	0.343566701	0.343009759	0.007424457	1.70E-23
OR52I2	0.868510592	0.868575396	0.018907191	3.09E-23
AP001630.1	0.630413799	0.631352498	0.015334203	5.94E-23
AC129492.2	0.161908392	0.161920473	0.003524693	8.00E-23
LINC01960	1.159079869	1.177933225	0.042084162	1.01E-22
ABCG2	7.672162433	8.615535977	1.402006898	1.01E-22
C1orf105	1.426290405	1.452289612	0.066383768	1.27E-22
TDGF1P3	-5.465675139	-4.282458281	5.521627417	1.34E-22
AC020658.6	0.373265463	0.373293314	0.008125867	1.55E-22
GBP1	3.271658169	3.411052264	0.209064712	2.77E-22
PERM1	0.37031378	0.370341411	0.00806161	4.18E-22
MYO7A	3.672871032	3.901077692	0.389009334	7.43E-22
AK4	-5.431214255	-5.6575899	7.861987451	8.47E-22
GBP2	1.915318699	1.965947222	0.100051991	9.75E-22
AL137793.1	1.692915166	1.757697648	0.113100911	1.84E-21
AC124861.1	0.326813585	0.32683797	0.007114625	1.89E-21
HAPLN1	3.800142695	3.730843986	0.163652204	2.19E-21
GHR	1.597441845	1.616963498	0.067072315	2.76E-21
ANPEP	4.317567984	4.735338912	0.512740829	4.33E-21
OR7E62P	0.829806951	0.834097808	0.021861926	4.99E-21
LINC01588	1.987100066	2.063306744	0.147744662	7.08E-21
ZNF750	2.018673884	2.100454056	0.128480189	1.02E-20
LINC00479	1.744343279	1.789243653	0.083157616	1.27E-20
SLC39A10	-4.903072921	-5.403682171	7.32106976	1.70E-20
GPR78	0.915685246	0.916124918	0.025907255	1.88E-20
AL358216.1	0.229098409	0.229115503	0.004987397	7.17E-20
OLFML1	1.707022242	1.725062224	0.09098351	1.21E-19
MBNL2	6.145982513	5.587636074	0.207262989	1.21E-19
NANOG	-6.896131721	-5.222120673	7.076394948	1.68E-19
H19	2.857608392	3.428566019	0.692244346	2.72E-19
RGS16	5.902961854	5.272153749	0.326604491	2.75E-19
PIP5K1B	3.105220045	3.047026494	0.17655049	2.94E-19
AC005840.4	2.189976468	2.453079784	0.387870538	4.85E-19
COLEC12	2.925872108	3.048029415	0.22089628	1.20E-18
AC010776.2	0.448536322	0.444041758	0.009764489	1.52E-18
CPM	1.331110971	1.353441386	0.06246876	2.50E-18
ART4	1.353604609	1.385695804	0.065785324	4.23E-18
SULT2A1	1.785670332	1.808540646	0.059858977	6.06E-18
AL358075.1	0.437145482	0.44140704	0.013313814	9.22E-18
MMP19	1.536690153	1.574290727	0.084930294	9.59E-18
STS	6.757593987	8.343449947	1.877801081	1.03E-17
RGL1	4.353485305	4.24729191	0.387721185	1.07E-17
AP006248.2	0.479583768	0.483557598	0.013976478	1.24E-17
WFDC2	5.154318349	4.228069744	0.20761444	1.94E-17
NNMT	0.802659024	0.809834016	0.024427381	2.86E-17
C1QTNF6	3.969144685	3.744013775	0.242912105	3.18E-17
CLDN8	0.285289702	0.286003428	0.007666224	3.81E-17
CDC42EP1	4.41427354	3.962517756	0.359254433	7.10E-17
WNT5A-AS1	0.118886739	0.118880981	0.002582137	7.25E-17
SOCS3	3.002928589	3.031382026	0.400844472	9.34E-17
PITRM1-AS1	1.105225196	1.110653753	0.057375717	2.96E-16
SLC40A1	2.88175771	3.025431438	0.245503251	4.53E-16
CNIH4	-2.611563242	-2.430030658	8.54957702	6.45E-16
KRT8P49	0.970942014	0.977562488	0.117381096	9.38E-16
KRT8P32	2.244914888	2.415791978	0.646388154	9.53E-16
PIK3C2G	1.347917241	1.386705535	0.069133739	1.07E-15
HSD3BP1	0.157904406	0.157901559	0.003431539	1.66E-15
PLEKHA6	3.750060968	3.422224218	0.099853922	1.77E-15
AC120498.4	0.640426617	0.656897109	0.02875386	2.00E-15
AMOTL2	5.293712493	5.540031887	1.285375189	2.49E-15
LCMT1-AS2	2.244589777	2.299477116	0.215210206	2.55E-15
LAPTM4A	-1.942838076	-2.132162671	9.292355953	2.59E-15
KRT8P36	3.144295496	3.575666421	1.332802978	3.52E-15
SNHG14	-3.25870769	-5.059177117	7.513757477	4.82E-15
DAB2	5.354913273	5.390206214	1.024702404	5.28E-15
HUNK	2.957337073	2.815548201	0.203940221	5.41E-15
SIM2	1.560992307	1.569689508	0.104433962	6.97E-15
AL080312.1	0.159780394	0.15890013	0.003467108	8.61E-15
FOXO4	2.302106835	2.484389431	0.321845822	9.04E-15
STARD10	4.334681157	4.953501278	1.266957531	1.40E-14
KCNN4	0.96966335	0.985026058	0.041532491	1.51E-14
AL021407.3	0.716679173	0.726517926	0.028564933	1.62E-14
CGA	1.345495442	1.327018217	0.03789069	1.64E-14
LINC00923	0.322727328	0.31908655	0.00851368	1.92E-14
KRT8P11	0.926259199	0.942957133	0.112786347	2.51E-14
KRT8P35	1.981928364	1.911057447	0.444633796	2.54E-14
HABP2	0.686026172	0.68607736	0.014934565	2.90E-14
KANK4	3.893936522	4.416905946	0.700467915	2.92E-14
AC099329.2	1.18551614	1.203162686	0.046188701	3.15E-14
LRMDA	0.853534782	0.888230893	0.052884724	4.18E-14
SMAGP	4.589287917	4.989587167	1.403110864	4.26E-14
AC011944.1	0.339390687	0.335725123	0.008651391	4.42E-14
TMEM54	4.076960046	4.930771225	1.011068009	4.63E-14
SLC9A2	1.107720077	1.131893449	0.058479625	5.73E-14
TMEM171	1.989787566	2.014725728	0.173989366	7.14E-14
AC000123.2	0.533707369	0.544525361	0.021296698	7.17E-14
AC005176.1	0.572961014	0.581067281	0.019713662	7.39E-14
ENPEP	4.500405869	4.322120382	0.359907547	9.34E-14
AC005224.4	1.251600489	1.290712904	0.089819613	1.12E-13
TGM2	2.372664795	2.563695974	0.312397792	1.49E-13
RBP4	1.185505652	1.164062446	0.025651519	1.56E-13
NIM1K	0.680960293	0.684784538	0.027451557	1.56E-13
FOS	4.659605322	4.495723654	0.541791442	1.66E-13
SOWAHB	0.505905965	0.497584508	0.014219918	1.92E-13
AC106864.1	-4.300776669	-4.818251522	4.487004384	1.92E-13
KRT19	6.152807421	6.647935367	4.127196447	2.13E-13
KRT8P10	3.408112751	3.310594406	2.008630125	2.18E-13
MAP1B	-4.546538977	-7.586837066	6.626931478	2.46E-13
KRT18P29	2.75095826	2.475778836	1.040411584	2.93E-13
PRKCH	3.453019704	3.268873785	0.251182885	3.07E-13
KRT8P45	3.353037954	3.980552717	2.029882111	3.29E-13
CD200	-4.891635366	-6.162513815	4.843686561	3.48E-13
APOA2	1.068330026	1.079962073	0.04939144	3.57E-13
EFNA1	5.086369735	5.805816989	1.300204478	5.19E-13
NPPB	1.150126059	1.159099552	0.057144617	5.86E-13
CEBPD	3.103420088	3.529087313	0.696166376	6.54E-13
SH2B2	1.568342439	1.55503776	0.122738053	6.76E-13
AL021328.1	0.566324893	0.574345679	0.022142959	6.88E-13
GLIS3	1.359720613	1.338011715	0.055215921	7.93E-13
ATP6V0A4	1.650088107	1.716865096	0.120559692	1.02E-12
ST6GALNAC2	1.523154768	1.620226906	0.13244728	1.14E-12
TEPP	1.958234478	1.798984131	0.067886693	1.83E-12
KRT18P4	3.192116722	2.779113032	1.664811536	2.04E-12
EPN3	0.698446238	0.696492339	0.025539824	2.39E-12
AL357094.1	0.480171155	0.47988811	0.010322647	2.58E-12
SIGLEC6	0.391461752	0.391230998	0.008415586	2.58E-12
MIR548AG1	0.382799415	0.382573767	0.008229364	2.58E-12
AP000290.1	0.366428426	0.366212429	0.007877423	2.58E-12
SAA2	0.318038797	0.317851324	0.00683715	2.58E-12
AC068700.1	0.307769448	0.307588028	0.006616381	2.58E-12
RNU6ATAC18P	0.289060808	0.288890416	0.006214186	2.58E-12
EIF4EP4	0.26332446	0.263169239	0.00566091	2.58E-12
AC079070.1	0.243573999	0.24343042	0.005236317	2.58E-12
AC087897.2	0.227001973	0.226868163	0.004880054	2.58E-12
AL445430.1	0.180116746	0.180010573	0.003872123	2.58E-12
AP001825.1	0.172157408	0.172055927	0.003701014	2.58E-12
RN7SKP199	0.172157408	0.172055927	0.003701014	2.58E-12
AC010096.1	0.145625956	0.145540114	0.003130645	2.58E-12
CYP17A1	0.135720658	0.135640655	0.002917702	2.58E-12
LINC02143	0.12517046	0.125096676	0.002690896	2.59E-12
AC040170.1	0.101755727	0.101695746	0.002187529	2.59E-12
AL353729.2	0.101755727	0.101695746	0.002187529	2.59E-12
AC093525.1	0.074378356	0.074334512	0.001598975	2.60E-12
MIR4755	0.074378356	0.074334512	0.001598975	2.60E-12
AC012613.1	0.058734625	0.058700003	0.001262668	2.62E-12
LINC01720	0.058734625	0.058700003	0.001262668	2.62E-12
AC020571.1	1.361207556	1.401324664	0.073927583	2.67E-12
HSD3B2	0.041418302	0.041393887	0.000890404	2.68E-12
OR6R1P	0.041418302	0.041393887	0.000890404	2.68E-12
COBLL1	3.196695373	3.050536762	0.215665076	2.69E-12
AC025588.2	0.022028433	0.022015448	0.000473564	3.15E-12
LINC02292	0.022028433	0.022015448	0.000473564	3.15E-12
MRGPRX4	0.022028433	0.022015448	0.000473564	3.15E-12
SMDT1	0.022028433	0.022015448	0.000473564	3.15E-12
TCAF2P1	0.022028433	0.022015448	0.000473564	3.15E-12
Y_RNA_ENSG00000201498	0.022028433	0.022015448	0.000473564	3.15E-12
KRT8P37	1.318479616	1.37811762	0.273075234	3.27E-12
DPPA4	-2.012144562	-3.215887098	7.993270491	3.79E-12
POU5F1P4	-3.748435307	-2.539233924	3.925757738	4.28E-12
AHNAK	4.923869992	6.447646422	1.659125236	4.35E-12
AP000857.1	0.232716311	0.231912286	0.0050029	4.37E-12
KRT8P3	3.625570417	4.679792619	4.895091266	5.02E-12
OR7E91P	0.582748693	0.595358524	0.023969974	5.23E-12
IFI6	4.524972573	4.998593891	1.567051645	5.23E-12
ANKRD22	0.594086286	0.594130614	0.012933064	6.25E-12
LUM	0.537992731	0.538032873	0.011711925	6.25E-12
AF241728.1	0.470197355	0.470232439	0.010236042	6.25E-12
INSL4	0.444229622	0.444262768	0.009670733	6.25E-12
LINC02413	0.425867309	0.425899085	0.009270992	6.25E-12
LEP	0.405744719	0.405774993	0.008832929	6.25E-12
AC024337.1	0.376956644	0.37698477	0.008206222	6.25E-12
AP006248.3	0.367509689	0.367537111	0.008000565	6.25E-12
SNORA26_ENSG00000212624	0.365083486	0.365110726	0.007947748	6.25E-12
APOC3	0.357209913	0.357236567	0.007776343	6.25E-12
AC108112.1	0.34295484	0.342980429	0.007466014	6.25E-12
LINC01451	0.333247178	0.333272043	0.007254682	6.25E-12
RN7SKP66	0.319473196	0.319497034	0.006954827	6.26E-12
AC103858.1	0.308157403	0.308180396	0.006708486	6.26E-12
AC133552.5	0.299996836	0.30001922	0.006530833	6.26E-12
HMGCS2	0.286505844	0.286527221	0.006237138	6.26E-12
AL445430.2	0.269706522	0.269726646	0.005871423	6.26E-12
AC062021.1	0.262579603	0.262599195	0.005716272	6.26E-12
AC092813.1	0.262579603	0.262599195	0.005716272	6.26E-12
AC093904.2	0.262579603	0.262599195	0.005716272	6.26E-12
AC244157.2	0.262579603	0.262599195	0.005716272	6.26E-12
LINC01007	0.262579603	0.262599195	0.005716272	6.26E-12
TM4SF5	0.262579603	0.262599195	0.005716272	6.26E-12
HTR2A	0.257973158	0.257992406	0.005615991	6.26E-12
AL160175.1	0.243347893	0.24336605	0.005297604	6.26E-12
MTND4P21	0.243347893	0.24336605	0.005297604	6.26E-12
RN7SKP40	0.243347893	0.24336605	0.005297604	6.26E-12
AP000146.1	0.241103673	0.241121663	0.005248748	6.26E-12
FAM172BP	0.234437807	0.2344553	0.005103634	6.26E-12
TRAV38-2DV8	0.234437807	0.2344553	0.005103634	6.26E-12
AC011243.1	0.228916634	0.228933715	0.00498344	6.26E-12
AP005202.2	0.228916634	0.228933715	0.00498344	6.26E-12
MIR4722	0.228916634	0.228933715	0.00498344	6.26E-12
U8_ENSG00000202537	0.228916634	0.228933715	0.00498344	6.26E-12
VDAC2P2	0.228916634	0.228933715	0.00498344	6.26E-12
RNA5SP237	0.222237506	0.222254088	0.004838038	6.26E-12
AC012409.1	0.218997631	0.219013972	0.004767507	6.26E-12
AC107398.2	0.218997631	0.219013972	0.004767507	6.26E-12
HNRNPA3P16	0.218997631	0.219013972	0.004767507	6.26E-12
AC087857.1	0.208559243	0.208574805	0.004540266	6.26E-12
APOA4	0.208294084	0.208309626	0.004534494	6.26E-12
MIR450A1	0.208294084	0.208309626	0.004534494	6.26E-12
MIR450B	0.208294084	0.208309626	0.004534494	6.26E-12
AP006295.1	0.200846969	0.200861955	0.004372373	6.26E-12
LINC00644	0.200846969	0.200861955	0.004372373	6.26E-12
RNU7-96P	0.200846969	0.200861955	0.004372373	6.26E-12
AC091946.1	0.200270434	0.200285377	0.004359822	6.26E-12
ALOX5AP	0.200270434	0.200285377	0.004359822	6.26E-12
AP002802.1	0.200270434	0.200285377	0.004359822	6.26E-12
RN7SL272P	0.200270434	0.200285377	0.004359822	6.26E-12
AC092431.1	0.185661442	0.185675295	0.004041789	6.26E-12
RNU6-593P	0.185661442	0.185675295	0.004041789	6.26E-12
AL049536.1	0.176150619	0.176163763	0.003834741	6.26E-12
AC109361.2	0.156773919	0.156785617	0.003412917	6.27E-12
AL512638.2	0.156773919	0.156785617	0.003412917	6.27E-12
CNTN4-AS1	0.156773919	0.156785617	0.003412917	6.27E-12
LINC02005	0.156773919	0.156785617	0.003412917	6.27E-12
NAT8B	0.156773919	0.156785617	0.003412917	6.27E-12
PHGR1	0.156773919	0.156785617	0.003412917	6.27E-12
SPRR3	0.156773919	0.156785617	0.003412917	6.27E-12
AC007378.1	0.146936526	0.14694749	0.00319876	6.27E-12
AC063947.1	0.146936526	0.14694749	0.00319876	6.27E-12
LPCAT2BP	0.146936526	0.14694749	0.00319876	6.27E-12
RPL38P1	0.146936526	0.14694749	0.00319876	6.27E-12
SIRPB2	0.146936526	0.14694749	0.00319876	6.27E-12
TRAV8-2	0.146936526	0.14694749	0.00319876	6.27E-12
AL356121.1	0.144348829	0.144359599	0.003142427	6.27E-12
LINC01925	0.141678471	0.141689042	0.003084294	6.27E-12
MC2R	0.141678471	0.141689042	0.003084294	6.27E-12
AC090138.1	0.135875973	0.135886112	0.002957975	6.27E-12
AL023773.1	0.135875973	0.135886112	0.002957975	6.27E-12
FTX_1	0.135875973	0.135886112	0.002957975	6.27E-12
MIR5003	0.135875973	0.135886112	0.002957975	6.27E-12
RNU6-16P	0.118362092	0.118370923	0.002576704	6.28E-12
AC121758.3	0.111173335	0.11118163	0.002420207	6.28E-12
AL135901.1	0.111173335	0.11118163	0.002420207	6.28E-12
AL450469.1	0.111173335	0.11118163	0.002420207	6.28E-12
NCF4	0.111173335	0.11118163	0.002420207	6.28E-12
SNORD38_ENSG00000252408	0.111173335	0.11118163	0.002420207	6.28E-12
AC019209.1	0.102179272	0.102186896	0.002224409	6.29E-12
AL033523.1	0.102179272	0.102186896	0.002224409	6.29E-12
FAM204CP	0.102179272	0.102186896	0.002224409	6.29E-12
OR5M7P	0.102179272	0.102186896	0.002224409	6.29E-12
RN7SKP111	0.102179272	0.102186896	0.002224409	6.29E-12
RNU6-597P	0.102179272	0.102186896	0.002224409	6.29E-12
RNU6-996P	0.102179272	0.102186896	0.002224409	6.29E-12
AC024563.2	0.096858307	0.096865534	0.002108574	6.29E-12
AC073413.1	0.096858307	0.096865534	0.002108574	6.29E-12
AC139530.2	0.096858307	0.096865534	0.002108574	6.29E-12
AL627230.7	0.096858307	0.096865534	0.002108574	6.29E-12
AP000439.2	0.096858307	0.096865534	0.002108574	6.29E-12
CASK-AS1	0.096858307	0.096865534	0.002108574	6.29E-12
GCOM1	0.096858307	0.096865534	0.002108574	6.29E-12
HOTTIP	0.096858307	0.096865534	0.002108574	6.29E-12
HOXA6	0.096858307	0.096865534	0.002108574	6.29E-12
RN7SL44P	0.096858307	0.096865534	0.002108574	6.29E-12
RNU6-916P	0.096858307	0.096865534	0.002108574	6.29E-12
SLC34A3	0.096858307	0.096865534	0.002108574	6.29E-12
U3_ENSG00000212321	0.096858307	0.096865534	0.002108574	6.29E-12
AC007292.3	0.065050085	0.065054939	0.001416119	6.32E-12
AC023421.2	0.065050085	0.065054939	0.001416119	6.32E-12
AC231532.2	0.065050085	0.065054939	0.001416119	6.32E-12
AL161751.1	0.065050085	0.065054939	0.001416119	6.32E-12
LINC02020	0.065050085	0.065054939	0.001416119	6.32E-12
LINC02545	0.065050085	0.065054939	0.001416119	6.32E-12
MIR4770	0.065050085	0.065054939	0.001416119	6.32E-12
RN7SKP92	0.065050085	0.065054939	0.001416119	6.32E-12
USP17L17	0.065050085	0.065054939	0.001416119	6.32E-12
Y_RNA_ENSG00000200334	0.065050085	0.065054939	0.001416119	6.32E-12
PSD4	1.481681493	1.547730229	0.1367732	6.69E-12
LINC02246	0.753758161	0.776025585	0.043066329	7.16E-12
PRSS51	0.53430458	0.538566145	0.024883549	7.28E-12
CLIC3	1.06774428	1.104558057	0.05840033	7.79E-12
GRHL3	2.137011053	2.316478481	0.25827404	8.12E-12
KRT8	3.552862799	4.538128375	7.579181247	8.49E-12
DNAH12	0.709378273	0.715108679	0.036389439	9.00E-12
GREB1L	4.427208434	5.609622927	1.501932572	1.15E-11
ATP2C2	2.609760828	2.932368003	0.497230457	1.16E-11
DFNA5	3.382123152	3.368208589	0.485960589	1.24E-11
SHH	0.585645356	0.587487451	0.015997135	1.26E-11
RHOBTB2	2.492084206	2.426902249	0.301485516	1.30E-11
LINC01099	0.479789761	0.476891624	0.010444866	1.47E-11
PLEKHN1	0.535902047	0.540800596	0.017418227	1.50E-11
AL354936.1	0.145625956	0.144962885	0.003130645	1.60E-11
PNOC	0.233906264	0.2344553	0.006052079	1.63E-11
CLDN3	4.777131089	3.772663114	0.181648114	1.92E-11
KALRN	3.21060241	3.177043319	0.439283449	2.06E-11
PPY	0.303519771	0.304327071	0.008024575	2.09E-11
FABP1	0.600478491	0.603605433	0.015839769	2.19E-11
AC092746.1	0.537961004	0.539472631	0.014368677	2.38E-11
PIM2	-4.624171945	-2.90103396	8.013493768	2.50E-11
PTPRE	2.941898723	2.66130144	0.07799817	2.85E-11
KRT8P21	0.63791181	0.609377005	0.042625354	2.89E-11
RAB17	3.425192743	3.066111782	0.103836798	3.44E-11
C2orf72	1.998529854	1.919770705	0.143460449	3.91E-11
KRT8P22	2.143249218	1.94387524	0.456453409	3.96E-11
AKR1B10	0.470730863	0.473797129	0.012969416	3.99E-11
AC126177.1	0.111173335	0.110733123	0.002420207	4.15E-11
AC023469.2	0.450078791	0.451632858	0.012543994	4.37E-11
CREB3L3	0.605485743	0.609624116	0.016856636	4.68E-11
CES1	0.185661442	0.184890695	0.004041789	5.29E-11
DIO2	1.042752382	1.072330804	0.066551918	5.91E-11
SNORA40_ENSG00000212149	0.102179272	0.101738389	0.002224409	6.55E-11
GJB1	0.531899064	0.534742007	0.015150795	6.82E-11
AC093904.4	0.232643888	0.2344553	0.006675519	7.76E-11
PTK6	0.540273181	0.54346272	0.017098648	9.00E-11
PIN4	-1.668081984	-2.341619992	5.908867833	9.24E-11
FGB	1.253474305	1.249577762	0.037973696	9.31E-11
LINC01356	4.483916134	5.474472263	2.196767477	9.34E-11
TBC1D2	2.894508535	2.931191505	0.558527746	1.07E-10
FBXL19-AS1	1.293560447	1.34157075	0.127859581	1.45E-10
KRT8P5	1.106290012	1.136402264	0.23303428	1.48E-10
OVOL1	3.064757053	3.557101704	0.585949935	1.54E-10
RPL23AP68	0.415393522	0.419194761	0.012428404	1.70E-10
ACTN1-AS1	0.725476232	0.71981702	0.025073435	1.75E-10
HLTF	-4.15198067	-6.052572483	5.602220879	1.81E-10
ASCL2	1.254217124	1.306799488	0.124938897	1.82E-10
ABCA5	2.867632996	3.026735822	0.505186605	1.92E-10
FGA	1.072034734	1.077507376	0.032605553	2.36E-10
BHLHA15	0.348703699	0.352127197	0.01064187	2.54E-10
KRT8P33	3.021530049	3.808746653	2.715945527	2.58E-10
TFAP2A	3.567301497	4.712053396	1.214189206	2.65E-10
AKR1D1	0.47293447	0.468700011	0.011789824	2.96E-10
AC010328.1	0.554988797	0.566527041	0.028040159	3.70E-10
PLEK2	1.474702208	1.575260666	0.137125851	4.06E-10
ANXA8	0.868271684	0.950250212	0.09591237	4.07E-10
ANKRD33B	1.689826878	1.732766026	0.187015732	4.43E-10
SLC39A2	0.737804417	0.746185946	0.024038067	4.55E-10
DUSP13	3.101369056	2.813273404	0.209061666	4.58E-10
GABRR2	0.474587031	0.479825561	0.01500365	5.43E-10
AL050338.2	2.366063265	2.687844656	0.372884197	5.45E-10
TPD52L1	4.264400084	4.336893051	1.054133548	6.54E-10
AC245041.2	1.603829756	1.802584402	0.228417751	6.61E-10
MYCNUT	0.521297618	0.509976802	0.011276901	6.61E-10
CLMP	4.747011733	4.431733863	0.673180369	6.67E-10
SUSD1	3.296519158	3.80528446	0.70963114	6.73E-10
KRT18P17	2.741455506	2.299902596	1.16496079	6.81E-10
SLC39A5	0.599522415	0.602378457	0.02022257	6.86E-10
SYTL5	1.230154404	1.224734632	0.058673642	6.87E-10
AP006248.4	0.9084148	0.920471593	0.046746855	7.57E-10
KRT8P39	1.91397454	2.10460518	0.722792635	7.83E-10
SLCO2A1	1.074132037	1.038407871	0.03848747	9.09E-10
AC023905.1	0.844221424	0.893952747	0.071675955	9.17E-10
SCGN	0.5602312	0.558726987	0.017842096	9.50E-10
CHADL	0.930081191	0.958676454	0.068179214	9.80E-10
MICAL2	2.836165372	3.342442267	0.571493394	1.00E-09
AC103740.2	0.760474602	0.778562847	0.040008498	1.02E-09
LINC01671	0.942955355	0.921150145	0.029249986	1.19E-09
PLEKHF1	3.622304089	3.163900008	0.306416315	1.19E-09
RNF43	2.459350113	2.541981464	0.406986108	1.21E-09
HNF1A	0.232995742	0.234006793	0.007676742	1.30E-09
AC013452.1	0.43804623	0.442587309	0.025313239	1.31E-09
SLC2A2	0.431199689	0.436617592	0.014223094	1.45E-09
FTH1	1.669012711	1.973505124	7.017848116	1.53E-09
POU5F1	-3.499598611	-2.381130146	3.618121488	1.68E-09
COL12A1	1.806086498	1.754062297	0.104342369	1.87E-09
ANKRD6	4.675806764	3.975872165	0.19747972	1.91E-09
MXRA8	4.017313193	5.853445357	2.293166373	1.95E-09
SHTN1	5.281306593	5.218058609	1.74094599	1.96E-09
AL606970.1	0.509372544	0.516005827	0.017010983	1.96E-09
KRT18P8	1.798887337	1.58582278	0.403256568	1.97E-09
IL36RN	0.550458243	0.553951486	0.018468867	2.19E-09
AL137141.1	0.45392894	0.449828351	0.009881884	2.27E-09
