Gene	logFC	logCPM	F	PValue	FDR	logCPM_primed	logCPM_naive
GPC6	-10.00758189	5.02775533	149.6513518	2.36E-09	7.84E-07	10.03154627	0.023964385
LCP1	6.863367711	8.59875914	133.5603648	2.39E-09	7.85E-07	5.167075285	12.030443
AP000812.2	15.29423194	3.602569643	146.4906078	2.50E-09	8.13E-07	-4.044546329	11.24968561
NECTIN3-AS1	-8.206932692	4.690349494	131.7127422	2.65E-09	8.53E-07	8.79381584	0.586883148
NTS	-6.661563706	6.507205974	131.3256864	2.71E-09	8.63E-07	9.837987826	3.176424121
CHST2	6.832714144	6.36100687	129.8474632	2.95E-09	9.28E-07	2.944649798	9.777363942
PODXL	-7.403642209	6.592200523	135.3594847	3.01E-09	9.29E-07	10.29402163	2.890379419
SULF1	-10.32924824	4.745464488	144.6885419	3.01E-09	9.29E-07	9.910088606	-0.41915963
ZNF528	9.049694745	4.202296257	128.6878978	3.15E-09	9.45E-07	-0.322551115	8.727143629
S100P	15.31202974	3.599508146	141.7618596	3.15E-09	9.45E-07	-4.056506725	11.25552302
GTSF1	6.781308072	5.989438282	128.5753164	3.17E-09	9.45E-07	2.598784246	9.380092318
SYCP3	7.107404341	5.928638077	128.4327415	3.20E-09	9.45E-07	2.374935907	9.482340248
TMSB15A	-7.20641	7.351603841	132.5030221	3.21E-09	9.45E-07	10.95480884	3.748398842
AC011453.1	8.862178908	4.579774666	129.8804305	3.25E-09	9.47E-07	0.148685212	9.010864119
RGCC	13.48432261	6.063663896	167.3707442	3.45E-09	9.90E-07	-0.67849741	12.8058252
LINC00678	-6.424175374	6.619554189	127.0668908	3.46E-09	9.90E-07	9.831641876	3.407466502
PREX2	-7.089730148	5.225969414	125.9004369	3.70E-09	1.05E-06	8.770834488	1.68110434
TCEAL2	-9.721034562	3.746239652	125.3207172	3.83E-09	1.08E-06	8.606756933	-1.114277629
DEPTOR	6.551877357	6.12114403	124.0571103	4.13E-09	1.15E-06	2.845205352	9.397082709
CYYR1	-11.49939303	5.200009093	150.0694896	4.37E-09	1.21E-06	10.94970561	-0.549687423
TFCP2L1	6.320877792	6.327024719	122.4999664	4.53E-09	1.24E-06	3.166585823	9.487463615
FEZ1	-7.704719221	4.611483036	122.3710702	4.56E-09	1.24E-06	8.463842647	0.759123426
BIN2	15.0351003	3.34631116	133.7302037	4.76E-09	1.28E-06	-4.171238988	10.86386131
MEIS2	14.96646956	3.319307952	132.6469863	5.03E-09	1.34E-06	-4.163926829	10.80254273
ZNF528-AS1	14.99715627	3.309980975	132.0972047	5.18E-09	1.37E-06	-4.188597157	10.80855911
LINC00665	6.766479868	6.267438694	121.2965749	5.24E-09	1.37E-06	2.88419876	9.650678628
LIM2	15.05875378	3.352904126	131.7225586	5.29E-09	1.37E-06	-4.176472764	10.88228102
PCYT1B	-6.749349178	5.747652871	118.6586864	5.72E-09	1.47E-06	9.122327461	2.372978282
KLF5	8.703946242	6.805526873	138.6791181	5.73E-09	1.47E-06	2.453553752	11.15749999
KCNJ2	-10.17529565	4.259922501	129.3481011	5.83E-09	1.48E-06	9.347570328	-0.827725326
HSBP1L1	6.889935648	5.218853096	118.1926986	5.89E-09	1.48E-06	1.773885272	8.66382092
ANXA1	8.040778458	6.598026255	132.399957	6.24E-09	1.56E-06	2.577637026	10.61841548
PRSS12	6.446120805	5.926004533	116.1167388	6.70E-09	1.66E-06	2.70294413	9.149064935
AC120036.2	14.84275413	3.201407387	127.0633884	6.80E-09	1.67E-06	-4.21996968	10.62278445
LIN7A	-11.86503231	3.206027557	115.8056555	6.83E-09	1.67E-06	9.13854371	-2.726488596
SNCA	-8.111964897	4.224442725	115.4512726	6.99E-09	1.68E-06	8.280425174	0.168460277
ID3	-6.414876919	6.542170162	115.4400915	6.99E-09	1.68E-06	9.749608621	3.334731702
ETV1	-8.238296064	5.247384496	126.4546952	7.44E-09	1.77E-06	9.366532527	1.128236464
ATP1A2	-11.06777224	3.054527087	114.097735	7.62E-09	1.80E-06	8.588413208	-2.479359033
PDCL2	7.799755107	5.783392199	125.7096966	7.75E-09	1.81E-06	1.883514645	9.683269752
LGALS3	6.208839248	5.865364121	113.6939269	7.82E-09	1.81E-06	2.760944497	8.969783745
CLDN11	-7.286369681	4.769743421	113.6540637	7.84E-09	1.81E-06	8.412928261	1.126558581
QPCT	14.78447632	3.127295213	124.1830357	7.98E-09	1.83E-06	-4.264942946	10.51953337
CEACAM6	14.74553927	3.107801421	122.8491273	8.60E-09	1.96E-06	-4.264968214	10.48057106
AP000943.2	-14.8017822	3.118010492	122.7367825	8.66E-09	1.96E-06	10.51890159	-4.282880607
AP002856.2	-14.72430249	3.088153234	122.1458915	8.96E-09	2.00E-06	10.45030448	-4.273998013
FGFBP3	-7.317058373	5.167164142	115.1829603	8.99E-09	2.00E-06	8.825693329	1.508634956
ABHD12B	6.733652529	6.714355177	117.5093518	9.09E-09	2.01E-06	3.347528912	10.08118144
RMST	-12.36508966	2.913559628	111.2175099	9.17E-09	2.01E-06	9.096104458	-3.268985202
SHISA2	-6.701255598	6.267358634	115.7797184	9.24E-09	2.01E-06	9.617986433	2.916730836
NUPR1	8.516754451	3.898494307	110.5388457	9.59E-09	2.06E-06	-0.359882919	8.156871532
ZNF542P	14.70163194	3.057136747	120.9366034	9.60E-09	2.06E-06	-4.293679221	10.40795272
BEX1	-5.980881453	6.164952611	110.3821439	9.69E-09	2.07E-06	9.155393337	3.174511884
AL354821.1	-9.036693147	3.890906194	111.7575186	9.83E-09	2.08E-06	8.409252767	-0.62744038
SMIM24	-14.70828208	3.097647713	120.4855091	9.85E-09	2.08E-06	10.45178875	-4.256493325
SLC30A2	14.72623144	3.035179901	119.7188161	1.03E-08	2.14E-06	-4.32793582	10.39829562
TMEM132B	-7.249200049	4.973356419	110.6197497	1.03E-08	2.14E-06	8.597956443	1.348756394
LPL	-14.68624551	3.006694155	119.4390142	1.05E-08	2.15E-06	10.34981691	-4.336428599
ZNF501	11.61381382	3.088985313	109.1481117	1.05E-08	2.15E-06	-2.717921597	8.895892223
REEP1	8.738135408	6.844602299	131.4801394	1.05E-08	2.15E-06	2.475534596	11.21367
MT1G	8.886653144	9.359069686	130.986831	1.08E-08	2.18E-06	4.915743114	13.80239626
ZNF829	7.563520574	4.250913017	108.6383804	1.09E-08	2.18E-06	0.46915273	8.032673304
ZNF723	9.016394297	3.526376315	108.6148781	1.09E-08	2.18E-06	-0.981820833	8.034573464
ZNF736	11.60432679	3.564806645	117.6855523	1.12E-08	2.22E-06	-2.237356749	9.366970039
HOXB2	14.68477948	2.995495381	118.2161217	1.12E-08	2.22E-06	-4.346894357	10.33788512
ROR1	-7.414104112	4.634796251	107.6016521	1.17E-08	2.29E-06	8.341848307	0.927744195
LINC02434	14.62361652	2.943978242	116.5581292	1.24E-08	2.42E-06	-4.367830019	10.2557865
LINC01612	-14.64119373	2.958225966	116.3740978	1.25E-08	2.42E-06	10.27882283	-4.362370901
ANKRD55	14.62839174	2.943231615	116.3396758	1.26E-08	2.42E-06	-4.370964256	10.25742749
ZNF99	9.417669092	3.650692992	107.9205158	1.26E-08	2.42E-06	-1.058141554	8.359527538
MT1E	8.150654329	7.20166214	125.2049986	1.29E-08	2.45E-06	3.126334975	11.2769893
PAM	-6.317066134	5.371828854	105.284461	1.36E-08	2.56E-06	8.530361921	2.213295787
CYTL1	-14.54181244	2.880974433	114.9244029	1.37E-08	2.56E-06	10.15188065	-4.389931785
ZNF728	9.557260003	4.374279571	116.3333833	1.37E-08	2.56E-06	-0.404350431	9.152909572
FOXR1	14.64268522	2.939548855	114.1695084	1.43E-08	2.65E-06	-4.381793753	10.26089146
CD40	-9.052976057	3.544393479	104.4877951	1.44E-08	2.66E-06	8.070881508	-0.982094549
ZNF667-AS1	11.8094915	3.297781276	111.3436261	1.48E-08	2.71E-06	-2.606964474	9.202527026
TCEAL7	-6.358388875	5.414065814	104.0334162	1.49E-08	2.71E-06	8.593260252	2.234871377
SMARCA2	5.774300802	5.963676276	103.7559558	1.52E-08	2.75E-06	3.076525875	8.850826677
SMIM3	-5.822198371	6.694602484	103.6606997	1.53E-08	2.75E-06	9.605701669	3.783503298
RAB15	5.915241203	7.404583364	103.3611821	1.56E-08	2.79E-06	4.446962762	10.36220397
FOXR2	14.49024014	2.865091265	112.6602452	1.57E-08	2.79E-06	-4.380028806	10.11021134
CR1L	6.341563804	5.076974733	102.71627	1.63E-08	2.89E-06	1.906192832	8.247756635
SNORD113-3	14.48563229	2.817849511	111.8913931	1.64E-08	2.90E-06	-4.424966636	10.06066566
FLT1	-6.501067255	4.797740208	102.1146117	1.70E-08	2.98E-06	8.048273835	1.54720658
ZNF667	10.36357142	2.847585123	101.9183368	1.72E-08	3.01E-06	-2.334200586	8.029370831
RTP3	14.49590069	2.805643299	110.8283657	1.75E-08	3.04E-06	-4.442307044	10.05359364
KLF17	14.43937444	2.791641783	110.6811797	1.77E-08	3.05E-06	-4.428045435	10.011329
ZNF737	8.767861714	3.391309453	101.3232434	1.80E-08	3.08E-06	-0.992621404	7.77524031
AC099499.1	-14.55006461	2.869011573	110.0421182	1.84E-08	3.13E-06	10.14404388	-4.40602073
KLF12	-9.170486572	3.261520962	100.9363206	1.85E-08	3.13E-06	7.846764248	-1.323722324
AC008753.2	14.5028951	2.803001679	109.6334703	1.89E-08	3.19E-06	-4.448445872	10.05444923
AC106872.5	5.479804055	6.39992102	100.4656499	1.91E-08	3.21E-06	3.660018993	9.139823048
UBE2L6	-7.26547633	4.847602934	104.5047169	1.96E-08	3.27E-06	8.480341099	1.214864769
PLA2G4F	14.39756613	2.735998491	108.8918483	1.98E-08	3.29E-06	-4.462784575	9.934781557
DLX3	14.41224015	2.735145391	108.8007418	1.99E-08	3.29E-06	-4.470974685	9.941265468
AC073071.1	-9.855678652	3.328854092	101.6688787	2.06E-08	3.39E-06	8.256693418	-1.598985233
TSPAN2	-8.90676854	3.654882042	100.8266369	2.09E-08	3.39E-06	8.108266312	-0.798502228
IGFBP4	-7.565427101	4.176501354	99.22789517	2.09E-08	3.39E-06	7.959214904	0.393787803
USP44	-5.656223901	7.51296879	99.07066052	2.11E-08	3.42E-06	10.34108074	4.684856839
AP002754.2	12.00499178	2.597042101	98.88557169	2.14E-08	3.43E-06	-3.40545379	8.599537991
FO393414.1	14.35533231	2.742630172	107.6552448	2.14E-08	3.43E-06	-4.435035984	9.920296329
ATAD3B	6.746049443	7.001745741	108.4256882	2.21E-08	3.52E-06	3.628721019	10.37477046
ADAMTS19	-10.22590375	2.823615245	98.22121412	2.25E-08	3.56E-06	7.93656712	-2.289336629
VCX3A	7.694141306	4.198860593	99.26759664	2.29E-08	3.62E-06	0.35178994	8.045931246
AC087612.1	14.35122505	2.663926733	105.9789382	2.39E-08	3.74E-06	-4.51168579	9.839539257
PAX8-AS1	10.17070998	3.696668351	107.0686968	2.41E-08	3.76E-06	-1.388686637	8.782023338
PRKAA2	-10.4910727	3.618694722	106.6065857	2.48E-08	3.85E-06	8.86423107	-1.626841626
CCDC144NL-AS1	-5.735980828	5.448482228	96.80601693	2.49E-08	3.85E-06	8.316472642	2.580491814
PTPRD	-8.519744907	3.561984806	95.93561425	2.66E-08	4.07E-06	7.821857259	-0.697887648
AC092447.7	11.3875588	4.82058087	121.8028901	2.66E-08	4.07E-06	-0.87319853	10.51436027
NLRP9	14.24713425	2.660966054	103.3949574	2.82E-08	4.28E-06	-4.462601074	9.784533181
AC097512.1	14.23929111	2.581236307	103.3281333	2.84E-08	4.28E-06	-4.538409248	9.700881861
LINC00643	14.22997464	2.617581416	103.306686	2.84E-08	4.28E-06	-4.497405905	9.732568738
JAKMIP2	-10.58936586	5.291886689	119.9247356	2.93E-08	4.39E-06	10.58656962	-0.002796239
ZNF492	6.886248723	4.222834337	94.56799282	2.95E-08	4.39E-06	0.779709976	7.665958699
YPEL2	5.732843437	5.619275182	94.51239142	2.96E-08	4.39E-06	2.752853463	8.4856969
PRELID2	-10.36246226	4.166875142	110.3585547	2.97E-08	4.39E-06	9.348106271	-1.014355986
AL353747.4	-8.34747609	4.410976273	103.148515	3.11E-08	4.57E-06	8.584714318	0.237238228
SEMA3A	-5.589747016	5.550947733	93.52244191	3.19E-08	4.67E-06	8.345821241	2.756074225
BEX3	-5.342682433	8.881877113	93.25472114	3.25E-08	4.74E-06	11.55321833	6.210535897
TNIK	-6.820544006	4.919569972	97.30619856	3.28E-08	4.76E-06	8.329841975	1.509297969
ETV5	-5.949341789	4.966408928	92.98188397	3.32E-08	4.80E-06	7.941079823	1.991738034
BCHE	-10.38591291	4.446859993	110.9362249	3.37E-08	4.84E-06	9.639816449	-0.746096462
KLRG2	7.031885374	6.43238243	105.4116529	3.38E-08	4.84E-06	2.916439743	9.948325117
RLN2	-10.94878415	3.112639213	99.28284332	3.42E-08	4.86E-06	8.587031287	-2.361752861
P2RY1	-8.19935542	5.571147521	109.8661805	3.43E-08	4.86E-06	9.670825231	1.471469811
HSD3B1	14.30273144	2.597579188	100.2951224	3.47E-08	4.90E-06	-4.55378653	9.748944907
DSCR8	11.37529719	3.774801118	107.0274766	3.63E-08	5.10E-06	-1.912847478	9.462449714
BST2	-6.982383088	5.119219653	99.63491275	3.65E-08	5.10E-06	8.610411196	1.628028109
LINC01139	-11.57246629	4.061040355	109.5478687	3.66E-08	5.10E-06	9.8472735	-1.725192791
ZNF90	10.21947363	5.023985296	115.0804058	3.81E-08	5.28E-06	-0.085751519	10.13372211
GAS7	5.724317386	5.15530961	91.06926066	3.85E-08	5.31E-06	2.293150917	8.017468302
MKRN3	14.08361797	2.422784489	97.70578364	4.15E-08	5.70E-06	-4.619024498	9.464593476
ZNF790-AS1	11.75249966	2.344853905	90.04869855	4.17E-08	5.70E-06	-3.531395924	8.221103734
MIR99AHG	10.03954444	3.78413736	101.8100391	4.26E-08	5.80E-06	-1.235634858	8.803909578
ANTXR1	-7.096894409	3.927576469	89.71786374	4.28E-08	5.80E-06	7.476023673	0.379129264
RNU6-1109P	-11.14605077	2.471699582	89.45433129	4.37E-08	5.90E-06	8.044724966	-3.101325801
PEG3	11.90141296	2.745237804	93.28444789	4.49E-08	6.04E-06	-3.205468678	8.695944286
GJA10	14.05445224	2.378735054	96.1726981	4.62E-08	6.18E-06	-4.648491066	9.405961174
DCAF4L2	8.701579702	3.674510253	94.62890842	4.70E-08	6.27E-06	-0.676279598	8.025300104
PRDM14	5.061621216	7.118468418	88.33381245	4.77E-08	6.34E-06	4.58765781	9.649279026
SALL2	-5.893293346	4.79433017	87.84230594	4.97E-08	6.56E-06	7.740976843	1.847683497
EDNRB	-5.901150879	5.78065328	90.95352702	5.20E-08	6.85E-06	8.731228719	2.830077841
AC022150.4	5.554943847	5.512134358	87.10660938	5.27E-08	6.90E-06	2.734662434	8.289606281
RAB38	-5.545036865	5.327279084	87.00261595	5.31E-08	6.93E-06	8.099797516	2.554760651
XG	-11.67345506	2.217449332	86.94278033	5.34E-08	6.94E-06	8.054176861	-3.619278198
PLA2G4C	-9.427651863	2.95396537	87.38554249	5.47E-08	7.06E-06	7.667791302	-1.759860561
HMGA2	-4.946457183	6.411109884	86.62143455	5.48E-08	7.06E-06	8.884338475	3.937881293
GSTA3	13.98038996	2.302152357	93.61182578	5.54E-08	7.10E-06	-4.688042621	9.292347336
UCHL1	-5.047337573	7.958266538	86.4042033	5.58E-08	7.10E-06	10.48193532	5.434597751
NODAL	5.356656359	5.670788994	86.3751044	5.59E-08	7.10E-06	2.992460815	8.349117174
SNORD114-13	13.96427851	2.294299704	93.47106973	5.60E-08	7.10E-06	-4.687839552	9.276438959
VGLL1	14.03347411	2.334766751	93.04490177	5.77E-08	7.29E-06	-4.681970302	9.351503805
SYK	8.234541676	4.334756966	95.37480456	5.82E-08	7.33E-06	0.217486128	8.452027804
AC009446.1	-5.208547562	7.357874042	85.40029526	6.05E-08	7.57E-06	9.962147823	4.753600261
MARCKS	-5.011087312	8.189252884	85.37870366	6.06E-08	7.57E-06	10.69479654	5.683709228
AC091987.1	13.93420864	2.253244997	92.01823539	6.22E-08	7.73E-06	-4.713859325	9.220349318
AQP3	6.21811309	4.516701211	84.80831159	6.35E-08	7.87E-06	1.407644666	7.625757756
SYTL4	13.87929412	2.24099904	91.42771695	6.49E-08	8.00E-06	-4.698648019	9.180646099
BIK	9.58993887	2.498051821	84.51541098	6.51E-08	8.00E-06	-2.296917614	7.293021257
ZNF350	10.4831577	4.267094698	102.8673069	6.59E-08	8.06E-06	-0.97448415	9.508673546
GATA3	11.02905268	2.427397028	85.1012388	6.77E-08	8.22E-06	-3.087129311	7.941923368
TMEM52B	11.55383588	2.213158349	84.04727624	6.77E-08	8.22E-06	-3.563759592	7.990076291
CLGN	-6.068295757	4.455775657	83.94083356	6.83E-08	8.24E-06	7.489923536	1.421627779
HOXB3	13.914815	2.225040422	90.72444324	6.84E-08	8.24E-06	-4.732367077	9.182447921
LINC00383	13.85939004	2.194988165	90.42715431	6.99E-08	8.39E-06	-4.734706854	9.124683183
GLIPR1L1	-8.134239059	3.38307244	84.53132078	7.09E-08	8.47E-06	7.450191969	-0.68404709
BEX5	-6.067759183	4.320626552	83.02626804	7.37E-08	8.78E-06	7.354506143	1.28674696
TMEM55A	-5.413241506	5.845806242	83.54028917	7.48E-08	8.88E-06	8.552426995	3.139185489
DTNA	-6.494264063	3.903430345	82.64956559	7.61E-08	8.99E-06	7.150562376	0.656298314
AC012645.1	-5.66362125	4.746671616	82.51560098	7.70E-08	9.06E-06	7.578482241	1.914860991
TMEM45A	-6.220466973	6.032515299	90.29418767	7.78E-08	9.12E-06	9.142748786	2.922281813
TMEM155	13.79774195	2.154021023	88.94461549	7.81E-08	9.12E-06	-4.744849949	9.052891996
GATA6	13.8447449	2.289014932	88.87033667	7.85E-08	9.13E-06	-4.633357518	9.211387383
HIST1H1A	7.065606846	4.70054804	89.80859648	7.87E-08	9.13E-06	1.167744617	8.233351463
F2RL1	4.78174215	6.762086194	82.10862154	7.97E-08	9.20E-06	4.371215119	9.152957269
AC113192.3	13.79384416	2.126096807	88.38362936	8.15E-08	9.37E-06	-4.770825276	9.023018889
SLC16A10	4.964231516	5.848593432	81.80442847	8.17E-08	9.37E-06	3.366477674	8.330709191
C1orf94	-13.78083679	2.167513301	88.19019169	8.27E-08	9.44E-06	9.057931695	-4.722905093
