gene	seqnames	start	end	gata2	gata3	tfap2a	tfap2c	logFC	adj.P.Val
ABHD1	chr2	27341656	27350156	0	0	0	0	-0.577496317	0.000344998
ABHD10	chr3	111692722	111701222	0	0	0	0	-0.851637424	3.50E-09
ABHD11	chr7	73149684	73158184	0	1	1	1	-0.403205845	0.001097554
ABHD11	chr7	73149690	73158190	0	1	1	1	-0.403205845	0.001097554
ABHD12B	chr14	51333877	51342377	0	0	0	0	-4.142568605	3.73E-06
ABHD13	chr13	108865762	108874262	0	0	0	0	0.328417508	0.001980582
ABHD15	chr17	27890542	27899042	0	0	0	0	1.3443381	4.76E-08
ABHD16A	chr6	31667350	31675850	0	0	0	0	0.649677321	6.58E-09
ABHD16A	chr6	31667637	31676137	0	0	0	0	0.649677321	6.58E-09
ABHD17A	chr19	1882018	1890518	0	1	1	1	0.945348396	5.77E-09
ABHD17B	chr9	74522648	74531148	0	0	0	0	-1.216838667	3.20E-12
ABHD3	chr18	19281266	19289766	0	0	1	0	0.550175001	0.001656473
ABHD4	chr14	23062146	23070646	0	0	0	0	-0.441631175	0.00060556
ABHD6	chr3	58218258	58226758	0	1	1	1	-0.814539282	0.000479584
ABHD8	chr19	17410782	17419282	0	0	0	1	1.223283256	2.11E-09
ABI1	chr10	27146516	27155016	0	0	0	0	1.004447375	1.63E-13
ABI2	chr2	204226606	204235106	0	0	0	0	-1.030382781	3.64E-11
ABI2	chr2	204187961	204196461	0	0	0	0	-1.030382781	3.64E-11
ABI3	chr17	47282588	47291088	0	0	0	0	-1.695801559	0.000129655
ABL2	chr1	179195319	179203819	0	0	0	0	-0.371451105	0.00097001
ABL2	chr1	179108724	179117224	0	0	0	0	-0.371451105	0.00097001
ABLIM1	chr10	116414558	116423058	1	1	0	0	-1.230019477	3.46E-10
ABLIM1	chr10	116440914	116449414	0	0	0	0	-1.230019477	3.46E-10
ABLIM1	chr10	116283185	116291685	0	0	0	0	-1.230019477	3.46E-10
ABLIM2	chr4	8157059	8165559	0	0	0	0	-1.549153515	0.000127851
ABLIM2	chr4	8070243	8078743	0	0	0	0	-1.549153515	0.000127851
ABLIM3	chr5	148516053	148524553	0	0	0	1	5.296657213	2.09E-12
ABR	chr17	1008840	1017340	0	0	1	0	1.042071902	3.22E-09
ABR	chr17	1079768	1088268	0	0	0	0	1.042071902	3.22E-09
ABR	chr17	978886	987386	0	0	0	0	1.042071902	3.22E-09
ABR	chr17	1087116	1095616	0	0	0	0	1.042071902	3.22E-09
ABR	chr17	931581	940081	0	0	0	0	1.042071902	3.22E-09
ABRACL	chr6	139344818	139353318	0	0	1	0	-0.293061185	0.018305354
ABT1	chr6	26592170	26600670	0	0	1	1	-0.281718285	0.000758367
ABTB1	chr3	127386780	127395280	0	0	0	1	3.876559167	3.65E-14
ACAA1	chr3	38175233	38183733	0	0	0	0	1.380366856	6.17E-12
ACAA2	chr18	47336751	47345251	0	0	0	0	-0.857093696	1.34E-12
ACACA	chr17	35653192	35661692	0	0	0	0	-1.816697409	6.67E-17
ACACA	chr17	35712559	35721059	0	0	0	0	-1.816697409	6.67E-17
ACACA	chr17	35763402	35771902	0	0	0	0	-1.816697409	6.67E-17
ACACB	chr12	109572201	109580701	0	0	0	0	-1.647828312	4.88E-13
ACAD10	chr12	112118856	112127356	0	0	0	1	0.646729912	2.92E-06
ACAD11	chr3	132375475	132383975	0	0	0	0	-1.00790472	2.66E-09
ACAD8	chr11	134118433	134126933	0	0	1	1	-1.059299621	5.76E-13
ACAD9	chr3	128593332	128601832	1	1	0	1	0.585656907	1.53E-06
ACADL	chr2	211086715	211095215	0	0	0	0	4.99164115	1.38E-07
ACADS	chr12	121158570	121167070	0	0	0	0	1.09954212	2.60E-08
ACADSB	chr10	124763428	124771928	0	0	1	1	-1.237785281	1.05E-10
ACADVL	chr17	7115443	7123943	0	0	0	0	1.22613326	7.28E-16
ACADVL	chr17	7118149	7126649	0	0	0	0	1.22613326	7.28E-16
ACAN	chr15	89341673	89350173	0	0	0	0	3.107221679	5.56E-12
ACAP1	chr17	7234847	7243347	0	0	0	0	-2.505363315	2.46E-16
ACAP2	chr3	195160317	195168817	0	0	0	0	0.806265357	1.14E-11
ACAP3	chr1	1239769	1248269	0	0	1	1	0.764601167	2.59E-08
ACAT1	chr11	107987257	107995757	0	0	0	0	-1.23696899	5.03E-12
ACAT2	chr6	160177988	160186488	0	0	0	1	-1.754011936	2.37E-15
ACBD3	chr1	226370923	226379423	0	0	0	0	0.416662977	1.24E-05
ACBD4	chr17	43208013	43216513	0	0	1	0	-0.357698241	0.007057974
ACBD4	chr17	43204966	43213466	0	0	1	0	-0.357698241	0.007057974
ACBD5	chr10	27526308	27534808	0	0	0	0	0.546414639	5.79E-07
ACBD5	chr10	27527568	27536068	0	0	0	0	0.546414639	5.79E-07
ACBD6	chr1	180468522	180477022	0	0	1	1	-1.117251283	1.17E-13
ACBD7	chr10	15127275	15135775	0	0	0	0	-2.565727949	2.58E-16
ACCS	chr11	44082811	44091311	0	0	1	1	1.621166897	9.15E-10
ACCS	chr11	44082728	44091228	0	0	1	1	1.621166897	9.15E-10
ACE2	chrX	15616692	15625192	0	1	0	0	2.718646657	0.000245196
ACER2	chr9	19403924	19412424	0	1	0	0	0.307770455	0.01426191
ACER3	chr11	76566916	76575416	0	1	0	0	1.977923827	4.05E-17
ACHE	chr7	100490041	100498541	0	0	0	0	2.517860251	1.05E-08
ACHE	chr7	100490092	100498592	0	0	0	0	2.517860251	1.05E-08
ACIN1	chr14	23561323	23569823	0	0	0	1	0.143959747	0.042467858
ACIN1	chr14	23537279	23545779	0	1	1	1	0.143959747	0.042467858
ACKR2	chr3	42845963	42854463	0	1	0	0	2.897844275	0.001536344
ACKR3	chr2	237473379	237481879	0	0	1	1	5.510959166	4.87E-18
ACLY	chr17	40071772	40080272	0	0	1	1	-1.172157795	8.92E-14
ACMSD	chr2	135591185	135599685	0	0	0	0	1.142841149	0.028159314
ACO1	chr9	32379600	32388100	0	0	0	1	-1.66255383	3.59E-17
ACO2	chr22	41860128	41868628	0	0	1	1	-0.381481812	1.20E-05
ACOT1	chr14	73998927	74007427	0	0	0	0	-1.150568162	8.35E-10
ACOT11	chr1	55008806	55017306	0	0	0	1	-1.093198138	1.69E-06
ACOT13	chr6	24662262	24670762	0	0	1	0	-0.849763681	4.25E-10
ACOT2	chr14	74029323	74037823	1	1	1	1	-0.974576707	3.93E-09
ACOT2	chr14	74030762	74039262	0	0	1	1	-0.974576707	3.93E-09
ACOT4	chr14	74053409	74061909	0	0	0	0	0.74100944	0.035732994
ACOT6	chr14	74078547	74087047	0	0	0	0	-3.774756801	0.000102506
ACOT7	chr1	6415504	6424004	0	1	0	0	-2.147967295	1.16E-15
ACOT7	chr1	6450326	6458826	0	0	0	0	-2.147967295	1.16E-15
ACOT7	chr1	6442383	6450883	0	0	1	1	-2.147967295	1.16E-15
ACOT7	chr1	6417264	6425764	0	1	0	0	-2.147967295	1.16E-15
ACOT8	chr20	44482548	44491048	0	0	0	0	-0.476747128	1.49E-06
ACOT9	chrX	23757907	23766407	0	0	0	0	0.281032195	0.005394508
ACOX1	chr17	73972015	73980515	0	1	1	1	0.611092834	1.43E-08
ACOX2	chr3	58519429	58527929	0	0	0	0	-3.156521148	3.87E-07
ACOX3	chr4	8438952	8447452	0	0	0	0	1.273816969	4.69E-09
ACOXL	chr2	111485149	111493649	0	0	0	0	-4.041187208	7.93E-15
ACP1	chr2	259868	268368	0	0	0	0	-0.505494342	9.04E-06
ACP2	chr11	47266957	47275457	0	0	0	0	0.690374495	4.35E-08
ACP5	chr19	11685053	11693553	0	0	1	0	-1.748701129	5.10E-09
ACP5	chr19	11686092	11694592	0	0	1	0	-1.748701129	5.10E-09
ACP5	chr19	11686301	11694801	0	0	1	0	-1.748701129	5.10E-09
ACP6	chr1	147139134	147147634	0	0	1	0	-0.753442553	5.78E-07
ACPP	chr3	132031210	132039710	0	0	0	0	5.041468204	5.05E-09
ACPT	chr19	51288671	51297171	0	0	0	0	0.809153189	0.039215897
ACRBP	chr12	6753080	6761580	0	0	0	0	-2.006148094	0.010717685
ACSBG1	chr15	78523549	78532049	0	0	0	0	-6.156833504	2.77E-11
ACSF2	chr17	48498518	48507018	0	1	1	1	3.655336248	1.49E-17
ACSF3	chr16	89197955	89206455	0	0	0	0	0.358538484	0.00122305
ACSF3	chr16	89155216	89163716	0	0	1	0	0.358538484	0.00122305
ACSL1	chr4	185729913	185738413	0	1	1	0	0.570518159	0.003754105
ACSL1	chr4	185726255	185734755	0	1	0	0	0.570518159	0.003754105
ACSL1	chr4	185743768	185752268	0	0	0	0	0.570518159	0.003754105
ACSL1	chr4	185723442	185731942	0	0	0	0	0.570518159	0.003754105
ACSL3	chr2	223720731	223729231	0	1	0	1	-0.589568147	2.11E-09
ACSL4	chrX	108973121	108981621	0	0	0	0	-1.684806718	1.42E-15
ACSL6	chr5	131344261	131352761	0	0	0	0	-2.393158186	6.79E-05
ACSL6	chr5	131344107	131352607	0	0	0	0	-2.393158186	6.79E-05
ACSL6	chr5	131343855	131352355	0	0	0	0	-2.393158186	6.79E-05
ACSM3	chr16	20770311	20778811	0	0	0	0	-0.623233989	3.29E-05
ACSS2	chr20	33457765	33466265	0	0	0	0	-0.614237404	4.02E-08
ACSS2	chr20	33459327	33467827	0	0	0	0	-0.614237404	4.02E-08
ACSS3	chr12	81466808	81475308	0	0	1	1	1.138048168	6.00E-11
ACTA1	chr1	229566343	229574843	0	0	1	1	0.844784613	0.008197155
ACTA2	chr10	90747647	90756147	0	0	0	0	5.177682586	3.46E-16
ACTA2	chr10	90709080	90717580	0	0	0	0	5.177682586	3.46E-16
ACTC1	chr15	35084427	35092927	0	0	0	0	4.097189897	1.56E-13
ACTG2	chr2	74115092	74123592	0	0	0	0	-1.203446169	0.000186653
ACTL10	chr20	32249303	32257803	0	0	0	0	0.967096096	0.000873539
ACTL6A	chr3	179275707	179284207	0	0	1	1	-1.029668744	2.64E-12
ACTL6B	chr7	100250584	100259084	0	0	0	0	-4.420796883	1.89E-05
ACTL8	chr1	18076807	18085307	0	0	0	0	-4.646394711	2.24E-07
ACTN1	chr14	69442583	69451083	0	0	1	1	1.398918784	1.51E-14
ACTN2	chr1	236844753	236853253	0	0	0	0	1.102926847	7.83E-07
ACTN3	chr11	66308865	66317365	0	0	0	0	-4.377491255	3.58E-14
ACTN3	chr11	66309311	66317811	0	0	0	0	-4.377491255	3.58E-14
ACTN4	chr19	39133266	39141766	0	0	0	0	1.28243479	7.35E-12
ACTR10	chr14	58661832	58670332	0	0	1	1	0.418688918	0.000284985
ACTR1B	chr2	98277061	98285561	0	0	0	0	0.82833634	2.11E-09
ACTR3B	chr7	152451833	152460333	0	0	0	0	-2.028253936	3.15E-15
ACTR3C	chr7	149996569	150005069	0	0	0	0	-1.644975529	1.15E-06
ACTR3C	chr7	150017258	150025758	0	1	0	0	-1.644975529	1.15E-06
ACTR5	chr20	37372096	37380596	0	0	0	0	-1.222168881	9.03E-14
ACTR6	chr12	100589554	100598054	0	0	0	0	-0.61596906	9.50E-05
ACTR6	chr12	100588864	100597364	0	0	0	0	-0.61596906	9.50E-05
ACTR8	chr3	53912729	53921229	0	0	0	0	0.197996404	0.00826742
ACTRT3	chr3	169484183	169492683	0	0	0	0	-0.670536628	2.74E-05
ACVR1	chr2	158728123	158736623	1	1	1	1	1.106130197	1.86E-07
ACVR1	chr2	158728874	158737374	1	1	1	1	1.106130197	1.86E-07
ACVR1B	chr12	52340450	52348950	0	0	1	1	0.22516219	0.003704427
ACVR1B	chr12	52342163	52350663	0	0	1	1	0.22516219	0.003704427
ACVR2A	chr2	148597085	148605585	0	0	0	0	1.002719884	4.04E-10
ACVR2A	chr2	148597563	148606063	0	0	0	0	1.002719884	4.04E-10
ACVR2B-AS1	chr3	38492811	38501311	0	1	1	1	0.937902941	3.69E-05
ACY1	chr3	52012299	52020799	0	0	1	0	-1.049632941	1.58E-11
ACYP1	chr14	75527236	75535736	0	0	0	0	-0.911195323	6.92E-05
ADAD2	chr16	84219722	84228222	0	0	0	0	-2.273631735	0.012279813
ADAL	chr15	43617553	43626053	0	0	1	1	-0.696029746	8.02E-07
ADAM10	chr15	59038677	59047177	0	0	1	1	1.471692215	1.19E-14
ADAM11	chr17	42831567	42840067	0	0	0	0	-1.301967142	7.56E-10
ADAM12	chr10	128073627	128082127	0	1	0	0	1.594343022	0.005727307
ADAM15	chr1	155018747	155027247	0	0	0	0	-0.641333308	3.92E-06
ADAM17	chr2	9692417	9700917	0	1	1	1	0.965017532	8.16E-13
ADAM18	chr8	39437086	39445586	1	1	1	1	4.93469229	4.03E-07
ADAM19	chr5	156999331	157007831	0	0	1	1	2.830976892	4.98E-16
ADAM1A	chr12	112331866	112340366	0	0	0	0	-0.730913797	9.97E-05
ADAM22	chr7	87558565	87567065	0	0	0	0	-1.570984635	1.51E-14
ADAM23	chr2	207303367	207311867	0	0	0	0	-3.939487607	5.72E-15
ADAM28	chr8	24146579	24155079	0	1	0	0	3.924714779	4.51E-06
ADAM32	chr8	38960049	38968549	0	0	0	0	2.088695002	0.027594796
ADAM33	chr20	3659278	3667778	0	0	0	1	3.568473711	1.14E-16
ADAM8	chr10	135086907	135095407	0	1	1	1	1.736520343	3.49E-06
ADAM9	chr8	38849504	38858004	0	0	0	0	1.690239409	5.46E-15
ADAMTS1	chr21	28214228	28222728	0	1	1	1	1.723482505	1.22E-09
ADAMTS12	chr5	33888624	33897124	0	0	0	1	2.584272625	5.68E-18
ADAMTS13	chr9	136282119	136290619	0	0	0	0	0.80816683	1.26E-05
ADAMTS13	chr9	136274458	136282958	0	0	0	0	0.80816683	1.26E-05
ADAMTS14	chr10	72427558	72436058	0	0	1	0	-2.089907378	4.05E-05
ADAMTS15	chr11	130313868	130322368	0	0	0	0	-2.959888031	3.79E-10
ADAMTS17	chr15	100878683	100887183	0	0	0	0	0.944579124	7.73E-06
ADAMTS18	chr16	77465511	77474011	1	1	1	0	10.44656348	1.99E-13
ADAMTS19	chr5	128791102	128799602	0	1	0	0	0.525148345	1.70E-05
ADAMTS2	chr5	178768931	178777431	0	0	0	0	5.232379588	2.80E-17
ADAMTS3	chr4	73431016	73439516	0	0	0	0	-0.316979138	0.045094033
ADAMTS4	chr1	161165345	161173845	0	0	0	0	-5.66517535	5.56E-12
ADAMTS6	chr5	64774204	64782704	0	1	0	0	4.559746374	2.62E-13
ADAMTS7	chr15	79100273	79108773	0	0	0	0	-2.258414407	8.44E-16
ADAMTS7P1	chr15	82580620	82589120	0	0	0	0	-2.61240206	1.52E-05
ADAMTS7P1	chr15	82877945	82886445	0	0	0	0	-2.61240206	1.52E-05
ADAMTS8	chr11	130295039	130303539	0	0	0	0	-6.386865925	3.22E-15
ADAMTS9	chr3	64669865	64678365	0	0	1	1	6.73027169	7.46E-17
ADAMTS9-AS2	chr3	64665545	64674045	0	0	1	1	5.884316847	5.35E-10
ADAMTSL1	chr9	18469078	18477578	0	0	0	0	-3.578201293	4.19E-05
ADAMTSL3	chr15	84317837	84326337	0	0	0	0	2.165614439	6.22E-05
ADAMTSL4	chr1	150516897	150525397	0	0	1	1	5.059373727	4.10E-15
ADAMTSL4-AS1	chr1	150543528	150552028	0	0	0	0	1.369063188	0.00174871
ADAMTSL5	chr19	1509688	1518188	0	0	0	0	4.57323277	4.04E-08
ADAR	chr1	154577224	154585724	0	0	0	0	-0.956056677	7.62E-14
ADAR	chr1	154575276	154583776	0	0	0	0	-0.956056677	7.62E-14
ADAR	chr1	154596956	154605456	0	1	0	0	-0.956056677	7.62E-14
ADARB1	chr21	46489492	46497992	0	0	0	0	0.911118072	7.33E-07
ADAT1	chr16	75653721	75662221	0	1	0	0	-0.444791571	0.000666621
ADAT2	chr6	143768341	143776841	1	1	1	0	-2.149506599	8.59E-13
ADAT2	chr6	143760314	143768814	0	0	0	0	-2.149506599	8.59E-13
ADAT3	chr19	1900370	1908870	0	0	0	1	0.97370534	0.000379261
ADCK1	chr14	78261425	78269925	0	1	0	0	-1.266786163	1.72E-10
ADCK2	chr7	140367952	140376452	0	0	0	0	1.403315729	4.15E-13
ADCK3	chr1	227122937	227131437	0	0	0	1	-0.510922321	2.53E-05
ADCK4	chr19	41219290	41227790	0	0	0	0	0.554583434	2.62E-06
ADCK4	chr19	41217511	41226011	0	0	0	0	0.554583434	2.62E-06
ADCK5	chr8	145592703	145601203	0	0	0	0	1.989531374	2.67E-10
ADCY1	chr7	45609124	45617624	0	0	0	0	-1.973299501	3.68E-16
ADCY1	chr7	45608738	45617238	0	0	0	0	-1.973299501	3.68E-16
ADCY10	chr1	167879953	167888453	0	1	1	0	5.515150845	7.53E-08
ADCY10P1	chr6	41063772	41072272	0	0	0	0	0.415553081	0.004464547
ADCY2	chr5	7391342	7399842	0	0	0	1	-3.330967038	6.36E-18
ADCY3	chr2	25138555	25147055	0	0	0	0	-1.044334211	1.87E-10
ADCY5	chr3	123131689	123140189	0	0	0	0	-2.205408367	2.16E-15
ADCY5	chr3	123163892	123172392	0	0	0	0	-2.205408367	2.16E-15
ADCY6	chr12	49179320	49187820	0	0	0	0	1.211424455	3.73E-13
ADCY6	chr12	49174377	49182877	0	0	0	0	1.211424455	3.73E-13
ADCY7	chr16	50295450	50303950	0	0	0	0	0.351153208	0.00900818
ADCY7	chr16	50316822	50325322	0	0	0	0	0.351153208	0.00900818
ADCY8	chr8	132049335	132057835	0	0	0	0	-3.531348938	4.92E-06
ADCYAP1R1	chr7	31087075	31095575	0	0	0	0	-1.678750024	8.07E-14
ADD1	chr4	2840583	2849083	0	1	1	1	0.816926136	6.28E-14
ADD1	chr4	2840876	2849376	0	1	1	1	0.816926136	6.28E-14
ADD2	chr2	70991347	70999847	0	0	0	0	-5.206141108	1.93E-21
ADD2	chr2	70991875	71000375	0	0	0	0	-5.206141108	1.93E-21
ADD3	chr10	111762710	111771210	0	0	1	0	0.34940201	0.001935251
ADD3	chr10	111760725	111769225	0	0	1	0	0.34940201	0.001935251
ADH5	chr4	100006431	100014931	0	0	0	0	-0.496352673	3.52E-07
ADHFE1	chr8	67339717	67348217	0	0	0	0	3.428404733	1.19E-08
ADIPOR2	chr12	1795246	1803746	0	0	0	0	-0.169050143	0.027865964
ADM	chr11	10321641	10330141	0	0	0	1	-0.565835479	0.042285489
ADM2	chr22	50914984	50923484	0	0	0	0	-1.926261423	1.54E-09
ADM2	chr22	50915152	50923652	0	0	0	0	-1.926261423	1.54E-09
ADM5	chr19	50186941	50195441	0	0	0	0	-1.173871652	0.000101777
ADNP2	chr18	77861914	77870414	0	1	0	0	-1.484457978	9.19E-17
ADO	chr10	64559515	64568015	0	0	0	0	-1.027367023	1.25E-11
ADORA1	chr1	203091835	203100335	0	0	0	0	-0.810636165	0.009239868
ADORA2A	chr22	24814564	24823064	0	0	0	0	-2.42834929	1.91E-11
ADORA2A	chr22	24818529	24827029	0	0	0	0	-2.42834929	1.91E-11
ADORA2A	chr22	24823086	24831586	0	0	0	0	-2.42834929	1.91E-11
ADORA2A-AS1	chr22	24887283	24895783	0	1	0	0	-2.427649858	0.000716998
ADPGK	chr15	73072626	73081126	0	0	0	0	-0.185549863	0.01201399
ADPRHL2	chr1	36549452	36557952	0	0	0	0	-0.276220507	0.005270725
ADPRM	chr17	10595926	10604426	0	0	1	1	0.516387686	0.00018989
ADRA1B	chr5	159338739	159347239	0	0	1	0	8.163480916	5.17E-14
ADRA2B	chr2	96778388	96786888	0	0	0	0	-1.887066002	1.01E-11
ADRA2C	chr4	3763295	3771795	0	0	0	1	-0.914726454	0.000143836
ADRB2	chr5	148201155	148209655	0	0	0	0	1.53595171	2.51E-05
ADRBK2	chr22	25955860	25964360	0	0	0	0	-0.238828684	0.007879854
ADRM1	chr20	60872951	60881451	0	0	1	0	-0.815876973	2.25E-10
ADSL	chr22	40737503	40746003	0	0	1	0	-1.082731555	2.93E-15
ADSS	chr1	244611936	244620436	0	0	0	0	-0.847528915	2.64E-11
ADSSL1	chr14	105191227	105199727	0	0	0	0	-1.751778635	3.81E-08
ADSSL1	chr14	105185533	105194033	0	0	0	0	-1.751778635	3.81E-08
AEBP2	chr12	19587607	19596107	0	1	0	0	-0.883628875	3.15E-08
AEBP2	chr12	19588514	19597014	0	1	0	0	-0.883628875	3.15E-08
AEN	chr15	89159526	89168026	0	0	0	0	-2.323505071	2.00E-16
AES	chr19	3058871	3067371	0	0	0	0	-0.585977918	2.56E-07
AES	chr19	3059464	3067964	0	0	0	0	-0.585977918	2.56E-07
AFAP1	chr4	7938153	7946653	0	1	1	1	2.462695436	7.46E-20
AFAP1-AS1	chr4	7750816	7759316	0	0	0	0	2.517989887	1.83E-11
AFAP1L1	chr5	148646400	148654900	0	1	1	1	2.931705211	8.08E-11
AFAP1L2	chr10	116161015	116169515	0	0	0	0	6.697460826	8.87E-16
AFF1	chr4	87851153	87859653	0	0	1	1	1.084911197	3.25E-09
AFF1	chr4	87923152	87931652	0	0	1	1	1.084911197	3.25E-09
AFF2	chrX	147577138	147585638	0	0	0	0	-1.275986552	3.57E-09
AFF2	chrX	147795614	147804114	0	0	0	0	-1.275986552	3.57E-09
AFF3	chr2	100718545	100727045	0	0	0	0	2.324805291	1.19E-11
AFF3	chr2	100755537	100764037	0	0	0	0	2.324805291	1.19E-11
AFF4	chr5	132295854	132304354	0	0	1	0	0.978901429	7.74E-13
AFG3L2	chr18	12373775	12382275	0	0	0	0	-0.78405633	4.38E-12
AFMID	chr17	76178397	76186897	0	0	0	0	-0.69802602	1.27E-08
AFP	chr4	74296935	74305435	0	0	0	0	-4.106355669	1.02E-05
AFTPH	chr2	64746438	64754938	0	0	0	0	0.429842833	9.09E-05
AGAP1	chr2	236397732	236406232	0	0	0	0	0.556044347	1.98E-07
AGAP2	chr12	58128529	58137029	0	0	0	0	-2.414991865	5.35E-08
AGAP2	chr12	58132444	58140944	0	0	0	0	-2.414991865	5.35E-08
AGAP3	chr7	150777917	150786417	0	0	1	1	1.392833261	5.13E-15
AGAP3	chr7	150778798	150787298	0	0	1	1	1.392833261	5.13E-15
AGAP9	chr10	48210723	48219223	0	0	0	0	0.374244645	0.003846224
AGAP9	chr10	47210126	47218626	0	0	0	0	0.374244645	0.003846224
AGBL2	chr11	47733428	47741928	0	0	0	0	0.96957026	0.004502467
AGBL3	chr7	134666258	134674758	0	0	0	0	-1.470519281	0.019194663
AGER	chr6	32148599	32157099	0	0	0	1	0.663810797	0.000678072
AGFG1	chr2	228331887	228340387	0	0	1	0	-0.747495037	1.37E-10
AGGF1	chr5	76321209	76329709	0	0	0	0	0.220545066	0.016770166
AGK	chr7	141246077	141254577	0	0	0	0	-1.293936533	1.03E-11
AGMAT	chr1	15908105	15916605	0	0	0	0	-3.570765782	8.05E-18
